STATEFIPS,STATE,ZIPCODE,AGI_STUB,Number of Returns
1,AL,0,0,2059967
1,AL,35004,0,4844
1,AL,35005,0,3440
1,AL,35006,0,1298
1,AL,35007,0,11768
1,AL,35010,0,8941
1,AL,35014,0,1651
1,AL,35016,0,7050
1,AL,35019,0,864
1,AL,35020,0,10774
1,AL,35022,0,9356
1,AL,35023,0,10417
1,AL,35031,0,2981
1,AL,35033,0,1318
1,AL,35034,0,1491
1,AL,35035,0,584
1,AL,35040,0,6929
1,AL,35042,0,2181
1,AL,35043,0,4180
1,AL,35044,0,3225
1,AL,35045,0,5566
1,AL,35046,0,2596
1,AL,35049,0,1555
1,AL,35051,0,3364
1,AL,35053,0,1009
1,AL,35054,0,1735
1,AL,35055,0,7695
1,AL,35057,0,4994
1,AL,35058,0,4126
1,AL,35061,0,648
1,AL,35062,0,3272
1,AL,35063,0,1200
1,AL,35064,0,4903
1,AL,35068,0,3467
1,AL,35071,0,7141
1,AL,35072,0,1880
1,AL,35073,0,1022
1,AL,35077,0,5052
1,AL,35078,0,865
1,AL,35079,0,3443
1,AL,35080,0,6876
1,AL,35083,0,1233
1,AL,35085,0,3534
1,AL,35087,0,826
1,AL,35089,0,774
1,AL,35091,0,1062
1,AL,35094,0,6436
1,AL,35096,0,3234
1,AL,35097,0,802
1,AL,35098,0,544
1,AL,35111,0,6652
1,AL,35114,0,2723
1,AL,35115,0,5099
1,AL,35116,0,1955
1,AL,35117,0,2652
1,AL,35118,0,1424
1,AL,35120,0,5723
1,AL,35121,0,5999
1,AL,35124,0,11236
1,AL,35125,0,4306
1,AL,35126,0,9512
1,AL,35127,0,4229
1,AL,35128,0,3984
1,AL,35130,0,1222
1,AL,35131,0,1544
1,AL,35133,0,1600
1,AL,35135,0,802
1,AL,35136,0,691
1,AL,35143,0,1211
1,AL,35146,0,4138
1,AL,35147,0,2148
1,AL,35148,0,1177
1,AL,35150,0,7390
1,AL,35151,0,2897
1,AL,35160,0,9846
1,AL,35171,0,1395
1,AL,35172,0,1173
1,AL,35173,0,11794
1,AL,35175,0,2184
1,AL,35176,0,375
1,AL,35178,0,1452
1,AL,35179,0,3755
1,AL,35180,0,5589
1,AL,35183,0,284
1,AL,35184,0,2073
1,AL,35186,0,1915
1,AL,35188,0,1125
1,AL,35203,0,1419
1,AL,35204,0,4170
1,AL,35205,0,8341
1,AL,35206,0,7161
1,AL,35207,0,3758
1,AL,35208,0,6878
1,AL,35209,0,12578
1,AL,35210,0,6649
1,AL,35211,0,11762
1,AL,35212,0,5463
1,AL,35213,0,6769
1,AL,35214,0,8710
1,AL,35215,0,20434
1,AL,35216,0,17188
1,AL,35217,0,5850
1,AL,35218,0,3146
1,AL,35221,0,2116
1,AL,35222,0,3912
1,AL,35223,0,5221
1,AL,35224,0,2464
1,AL,35226,0,15249
1,AL,35228,0,4833
1,AL,35233,0,569
1,AL,35234,0,2398
1,AL,35235,0,9227
1,AL,35242,0,23862
1,AL,35243,0,9266
1,AL,35244,0,15361
1,AL,35401,0,10102
1,AL,35404,0,7629
1,AL,35405,0,17419
1,AL,35406,0,6149
1,AL,35441,0,468
1,AL,35442,0,2048
1,AL,35443,0,755
1,AL,35444,0,1531
1,AL,35446,0,759
1,AL,35447,0,1388
1,AL,35452,0,1552
1,AL,35453,0,4726
1,AL,35456,0,1750
1,AL,35458,0,234
1,AL,35459,0,354
1,AL,35460,0,226
1,AL,35461,0,764
1,AL,35462,0,2066
1,AL,35463,0,765
1,AL,35464,0,240
1,AL,35466,0,2285
1,AL,35469,0,132
1,AL,35470,0,1956
1,AL,35473,0,6792
1,AL,35474,0,2705
1,AL,35475,0,6250
1,AL,35476,0,3984
1,AL,35480,0,609
1,AL,35481,0,1373
1,AL,35490,0,1684
1,AL,35501,0,3882
1,AL,35503,0,3339
1,AL,35504,0,5153
1,AL,35540,0,948
1,AL,35541,0,1250
1,AL,35542,0,401
1,AL,35543,0,378
1,AL,35544,0,239
1,AL,35546,0,1440
1,AL,35548,0,606
1,AL,35549,0,1435
1,AL,35550,0,1985
1,AL,35552,0,347
1,AL,35553,0,1717
1,AL,35554,0,413
1,AL,35555,0,3779
1,AL,35563,0,1561
1,AL,35564,0,785
1,AL,35565,0,4895
1,AL,35570,0,4009
1,AL,35571,0,326
1,AL,35572,0,356
1,AL,35574,0,567
1,AL,35575,0,384
1,AL,35576,0,1155
1,AL,35578,0,1900
1,AL,35579,0,1187
1,AL,35580,0,1463
1,AL,35581,0,1884
1,AL,35582,0,1748
1,AL,35585,0,606
1,AL,35586,0,1630
1,AL,35587,0,339
1,AL,35592,0,1751
1,AL,35593,0,676
1,AL,35594,0,2880
1,AL,35601,0,15332
1,AL,35603,0,13645
1,AL,35610,0,757
1,AL,35611,0,10404
1,AL,35613,0,8377
1,AL,35614,0,2998
1,AL,35616,0,1501
1,AL,35618,0,848
1,AL,35619,0,2107
1,AL,35620,0,3577
1,AL,35621,0,1141
1,AL,35622,0,2672
1,AL,35630,0,12795
1,AL,35633,0,8446
1,AL,35634,0,4428
1,AL,35640,0,10601
1,AL,35643,0,1372
1,AL,35645,0,5577
1,AL,35646,0,1952
1,AL,35647,0,416
1,AL,35648,0,1525
1,AL,35650,0,5397
1,AL,35651,0,440
1,AL,35652,0,3357
1,AL,35653,0,5280
1,AL,35654,0,3244
1,AL,35660,0,4153
1,AL,35661,0,7576
1,AL,35670,0,3173
1,AL,35671,0,922
1,AL,35672,0,2597
1,AL,35673,0,3414
1,AL,35674,0,7691
1,AL,35677,0,740
1,AL,35739,0,2054
1,AL,35740,0,1387
1,AL,35741,0,1382
1,AL,35744,0,929
1,AL,35746,0,337
1,AL,35747,0,2327
1,AL,35748,0,2808
1,AL,35749,0,10050
1,AL,35750,0,5625
1,AL,35752,0,878
1,AL,35754,0,2204
1,AL,35755,0,239
1,AL,35756,0,5291
1,AL,35757,0,6399
1,AL,35758,0,20282
1,AL,35759,0,3362
1,AL,35760,0,2094
1,AL,35761,0,4945
1,AL,35763,0,6697
1,AL,35764,0,249
1,AL,35765,0,1439
1,AL,35768,0,5016
1,AL,35769,0,4033
1,AL,35771,0,1408
1,AL,35772,0,1956
1,AL,35773,0,5366
1,AL,35775,0,292
1,AL,35776,0,1368
1,AL,35801,0,10032
1,AL,35802,0,11061
1,AL,35803,0,12713
1,AL,35805,0,10509
1,AL,35806,0,9520
1,AL,35808,0,441
1,AL,35810,0,14371
1,AL,35811,0,12464
1,AL,35816,0,6352
1,AL,35824,0,3148
1,AL,35901,0,7571
1,AL,35903,0,7507
1,AL,35904,0,5528
1,AL,35905,0,2720
1,AL,35906,0,4332
1,AL,35907,0,3662
1,AL,35950,0,9318
1,AL,35951,0,4934
1,AL,35952,0,2726
1,AL,35953,0,2866
1,AL,35954,0,4749
1,AL,35956,0,3338
1,AL,35957,0,6541
1,AL,35958,0,1212
1,AL,35959,0,1791
1,AL,35960,0,3670
1,AL,35961,0,2312
1,AL,35962,0,2681
1,AL,35963,0,606
1,AL,35966,0,1326
1,AL,35967,0,6153
1,AL,35968,0,2419
1,AL,35971,0,1761
1,AL,35972,0,473
1,AL,35973,0,1031
1,AL,35974,0,723
1,AL,35975,0,365
1,AL,35976,0,6981
1,AL,35978,0,2032
1,AL,35979,0,544
1,AL,35980,0,1818
1,AL,35981,0,778
1,AL,35983,0,1378
1,AL,35984,0,749
1,AL,35986,0,3087
1,AL,35987,0,981
1,AL,35988,0,731
1,AL,35989,0,1194
1,AL,36003,0,860
1,AL,36005,0,679
1,AL,36006,0,569
1,AL,36009,0,1036
1,AL,36010,0,2178
1,AL,36013,0,193
1,AL,36016,0,1304
1,AL,36017,0,695
1,AL,36020,0,558
